Время,SuperTrend,Цвет
2020-06-11 13:30:00+05:00,5346.0590217785375,-1
2020-06-11 14:00:00+05:00,5344.0403076406155,-1
2020-06-11 14:30:00+05:00,5344.0403076406155,-1
2020-06-11 15:00:00+05:00,5344.0403076406155,-1
2020-06-11 15:30:00+05:00,5344.0403076406155,-1
2020-06-11 16:00:00+05:00,5334.467720843008,-1
2020-06-11 16:30:00+05:00,5328.945948758706,-1
2020-06-11 17:00:00+05:00,5328.945948758706,-1
2020-06-11 17:30:00+05:00,5328.945948758706,-1
2020-06-11 18:00:00+05:00,5328.945948758706,-1
2020-06-11 18:30:00+05:00,5328.945948758706,-1
2020-06-11 19:00:00+05:00,5328.945948758706,-1
2020-06-11 19:30:00+05:00,5328.945948758706,-1
2020-06-11 20:00:00+05:00,5273.4294520661515,1
2020-06-11 20:30:00+05:00,5287.086506859537,1
2020-06-15 12:00:00+05:00,5252.697143826417,-1
2020-06-15 12:30:00+05:00,5252.697143826417,-1
2020-06-15 13:00:00+05:00,5252.697143826417,-1
2020-06-15 13:30:00+05:00,5252.697143826417,-1
2020-06-15 14:00:00+05:00,5252.697143826417,-1
2020-06-15 14:30:00+05:00,5252.697143826417,-1
2020-06-15 15:00:00+05:00,5252.697143826417,-1
2020-06-15 15:30:00+05:00,5252.697143826417,-1
2020-06-15 16:00:00+05:00,5252.697143826417,-1
2020-06-15 16:30:00+05:00,5252.697143826417,-1
2020-06-15 17:00:00+05:00,5252.697143826417,-1
2020-06-15 17:30:00+05:00,5246.7599573579655,-1
2020-06-15 18:00:00+05:00,5246.7599573579655,-1
2020-06-15 18:30:00+05:00,5246.7599573579655,-1
2020-06-15 19:00:00+05:00,5246.7599573579655,-1
2020-06-15 19:30:00+05:00,5246.7599573579655,-1
2020-06-15 20:00:00+05:00,5246.7599573579655,-1
2020-06-15 20:30:00+05:00,5204.764820501725,1
2020-06-16 12:00:00+05:00,5271.088338451553,1
2020-06-16 12:30:00+05:00,5293.129504606398,1
2020-06-16 13:00:00+05:00,5305.066554145757,1
2020-06-16 13:30:00+05:00,5337.984898731182,1
2020-06-16 14:00:00+05:00,5355.386408858064,1
