Value Classic,Value Signal,Time
-3.8026307089585316,-0.3092268960330723,2022-06-27 12:30:00+05:00
-5.615551189949656,-1.370491754816389,2022-06-27 13:00:00+05:00
-6.852277479159966,-2.466848899685105,2022-06-27 13:30:00+05:00
-6.905527107695889,-3.3545845412872617,2022-06-27 14:00:00+05:00
-6.988209556176116,-4.081309544265033,2022-06-27 14:30:00+05:00
-6.933465496653298,-4.6517407347426865,2022-06-27 15:00:00+05:00
-6.811560999914036,-5.083704787776957,2022-06-27 15:30:00+05:00
-6.917629431243768,-5.450489716470319,2022-06-27 16:00:00+05:00
-6.562923735777076,-5.67297652033167,2022-06-27 16:30:00+05:00
-6.4495454987500125,-5.828290316015339,2022-06-27 17:00:00+05:00
-6.167559182004879,-5.896144089213248,2022-06-27 17:30:00+05:00
-5.836458116954418,-5.884206894761482,2022-06-27 18:00:00+05:00
-5.51053610739109,-5.809472737287404,2022-06-27 18:30:00+05:00
-5.232272013203328,-5.694032592470589,2022-06-27 19:00:00+05:00
-5.114175962052286,-5.5780612663869285,2022-06-27 19:30:00+05:00
-4.763939158876383,-5.41523684488482,2022-06-27 20:00:00+05:00
-4.355475120389201,-5.203284499985696,2022-06-27 20:30:00+05:00
-6.538524946412963,-5.47033258927115,2022-06-28 12:00:00+05:00
-9.011985352028205,-6.178663141822562,2022-06-28 12:30:00+05:00
-11.644901791162283,-7.2719108716905065,2022-06-28 13:00:00+05:00
-13.734566787165477,-8.564442054785502,2022-06-28 13:30:00+05:00
-14.896161108397337,-9.83078586550787,2022-06-28 14:00:00+05:00
-14.878650549722352,-10.840358802350767,2022-06-28 14:30:00+05:00
-15.253778738227993,-11.723042789526213,2022-06-28 15:00:00+05:00
-15.613166592605012,-12.501067550141972,2022-06-28 15:30:00+05:00
-15.357836089992816,-13.072421258112142,2022-06-28 16:00:00+05:00
-15.660835427376242,-13.590104091964964,2022-06-28 16:30:00+05:00
-15.520326812194071,-13.976148636010787,2022-06-28 17:00:00+05:00
-15.033941694176974,-14.187707247644026,2022-06-28 17:30:00+05:00
-15.279264559615058,-14.406018710038232,2022-06-28 18:00:00+05:00
-16.73324384667194,-14.871463737364975,2022-06-28 18:30:00+05:00
-19.43669492517347,-15.784509974926674,2022-06-28 19:00:00+05:00
-22.01134525818543,-17.029877031578426,2022-06-28 19:30:00+05:00
-24.05688218281648,-18.43527806182604,2022-06-28 20:00:00+05:00
-25.265700204303812,-19.801362490321594,2022-06-28 20:30:00+05:00
-30.15277187123229,-21.871644366503734,2022-06-29 12:00:00+05:00
-32.401585606048684,-23.977632614412723,2022-06-29 12:30:00+05:00
-33.55491163069337,-25.893088417668853,2022-06-29 13:00:00+05:00
-33.19862960862656,-27.354196655860395,2022-06-29 13:30:00+05:00
-32.74058951032748,-28.431475226753815,2022-06-29 14:00:00+05:00
-31.569867615531166,-29.05915370450929,2022-06-29 14:30:00+05:00
-29.09628359407452,-29.066579682422336,2022-06-29 15:00:00+05:00
-27.823859832602466,-28.818035712458364,2022-06-29 15:30:00+05:00
-25.432942528513195,-28.141017075669332,2022-06-29 16:00:00+05:00
-22.113187460881818,-26.93545115271183,2022-06-29 16:30:00+05:00
-19.220351582129297,-25.392431238595325,2022-06-29 17:00:00+05:00
-14.979863624906102,-23.309917715857484,2022-06-29 17:30:00+05:00
-9.811619628506833,-20.610258098387355,2022-06-29 18:00:00+05:00
-5.251751886273723,-17.53855685596463,2022-06-29 18:30:00+05:00
-2.5367358274156686,-14.538192650254837,2022-06-29 19:00:00+05:00
1.0951056526287175,-11.411532989678127,2022-06-29 19:30:00+05:00
3.3696811067648014,-8.455290170389542,2022-06-29 20:00:00+05:00
2.480876335996527,-6.268056869112328,2022-06-29 20:30:00+05:00
1.8759053465228135,-4.6392644259853,2022-06-30 12:00:00+05:00
-7.633697626387402,-5.238151066065721,2022-06-30 12:30:00+05:00
-11.407503971243841,-6.472021647101346,2022-06-30 13:00:00+05:00
-17.38518695970697,-8.65465470962247,2022-06-30 13:30:00+05:00
-22.428839592153054,-11.409491686128586,2022-06-30 14:00:00+05:00
-24.40972026324698,-14.009537401552265,2022-06-30 14:30:00+05:00
-21.814572979765217,-15.570544517194856,2022-06-30 15:00:00+05:00
-18.65524592883503,-16.187484799522892,2022-06-30 15:30:00+05:00
-15.88762221737852,-16.12751228309402,2022-06-30 16:00:00+05:00
-10.905721905355676,-15.083154207546352,2022-06-30 16:30:00+05:00
-7.596190642028887,-13.58576149444286,2022-06-30 17:00:00+05:00
-4.757142607889364,-11.820037717132161,2022-06-30 17:30:00+05:00
-3.2763255713653052,-10.11129528797879,2022-06-30 18:00:00+05:00
-4.3921945533325015,-8.967475141049531,2022-06-30 18:30:00+05:00
-8.128078290732901,-8.799595770986206,2022-06-30 19:00:00+05:00
-11.121969215582794,-9.264070459905525,2022-06-30 19:30:00+05:00
-14.73687556165487,-10.358631480255394,2022-06-30 20:00:00+05:00
-18.19884633921356,-11.926674452047028,2022-06-30 20:30:00+05:00
-16.994420636854557,-12.940223689008533,2022-07-01 12:00:00+05:00
-16.854264651965423,-13.723031881599912,2022-07-01 12:30:00+05:00
-15.315917203382924,-14.041608945956515,2022-07-01 13:00:00+05:00
-16.369167296904834,-14.50712061614618,2022-07-01 13:30:00+05:00
-14.415227429471543,-14.488741978811253,2022-07-01 14:00:00+05:00
-12.321226366047085,-14.055238856258422,2022-07-01 14:30:00+05:00
-10.739644605631838,-13.392120006133107,2022-07-01 15:00:00+05:00
-8.26131536763478,-12.365959078433443,2022-07-01 15:30:00+05:00
-4.869333025983451,-10.866633867943445,2022-07-01 16:00:00+05:00
-4.030949903310557,-9.499497075016867,2022-07-01 16:30:00+05:00
-2.769755719982186,-8.153548804009931,2022-07-01 17:00:00+05:00
-3.1062018074603657,-7.144079404700018,2022-07-01 17:30:00+05:00
-1.659187183035101,-6.047100960367035,2022-07-01 18:00:00+05:00
0.5703449265065501,-4.723611782992318,2022-07-01 18:30:00+05:00
1.5129088878115908,-3.4763076488315368,2022-07-01 19:00:00+05:00
2.0347135995143617,-2.3741033991623572,2022-07-01 19:30:00+05:00
