Value Classic,Value Signal,Time
-0.15616440517317898,-0.1266625593176411,2022-09-29 18:00:00+05:00
-0.14159107571876817,-0.12964826259786652,2022-09-29 18:30:00+05:00
-0.13893002186452819,-0.13150461445119888,2022-09-29 19:00:00+05:00
-0.13805392529081217,-0.13281447661912155,2022-09-29 19:30:00+05:00
-0.12542389036507373,-0.131336359368312,2022-09-29 20:00:00+05:00
-0.10691974459288289,-0.1264530364132262,2022-09-29 20:30:00+05:00
-0.07883906349395531,-0.11693024182937202,2022-09-29 21:00:00+05:00
-0.06272070578403799,-0.10608833462030523,2022-09-29 21:30:00+05:00
-0.05256848016191995,-0.09538436372862817,2022-09-29 22:00:00+05:00
-0.04561082783505199,-0.08542965654991294,2022-09-29 22:30:00+05:00
-0.04402735860077911,-0.07714919696008618,2022-09-29 23:00:00+05:00
-0.03949298972947801,-0.06961795551396455,2022-09-29 23:30:00+05:00
-0.034293777767867795,-0.0625531199647452,2022-09-30 00:00:00+05:00
-0.03262153161255199,-0.056566802294306565,2022-09-30 00:30:00+05:00
-0.02774872870895706,-0.05080318757723667,2022-09-30 01:00:00+05:00
-0.013643270836240617,-0.04337120422903746,2022-09-30 01:30:00+05:00
0.004742979871284803,-0.033748367408973,2022-09-30 12:00:00+05:00
-0.0008489089461356514,-0.027168475716405533,2022-09-30 12:30:00+05:00
-0.009607808629912284,-0.023656342299106885,2022-09-30 13:00:00+05:00
-0.03271398007868598,-0.025467869855022706,2022-09-30 13:30:00+05:00
-0.041270507794063604,-0.028628397442830886,2022-09-30 14:00:00+05:00
-0.023572396940942042,-0.02761719734245312,2022-09-30 14:30:00+05:00
-0.030178465110818564,-0.02812945089612621,2022-09-30 15:00:00+05:00
-0.04936921977256503,-0.03237740467141398,2022-09-30 15:30:00+05:00
-0.05546603074945722,-0.036995129887022624,2022-09-30 16:00:00+05:00
-0.06200380538093242,-0.041996864985804586,2022-09-30 16:30:00+05:00
-0.04886953985993969,-0.04337139996063161,2022-09-30 17:00:00+05:00
-0.04001654505164609,-0.042700428978834505,2022-09-30 17:30:00+05:00
-0.007097343477607154,-0.03557981187858904,2022-09-30 18:00:00+05:00
0.015185191584421887,-0.02542681118598685,2022-09-30 18:30:00+05:00
0.003752018865675666,-0.01959104517565435,2022-09-30 19:00:00+05:00
0.01030720241804417,-0.013611395656914646,2022-09-30 19:30:00+05:00
-0.007010613344835548,-0.012291239194498827,2022-09-30 20:00:00+05:00
-0.010926160015529263,-0.012018223358704916,2022-09-30 20:30:00+05:00
-0.0054933129909642275,-0.01071324128515678,2022-09-30 21:00:00+05:00
-0.010347996228233569,-0.01064019227377214,2022-09-30 21:30:00+05:00
-0.007252970317505714,-0.009962747882518856,2022-09-30 22:00:00+05:00
0.0036306308412399346,-0.007244072137767097,2022-09-30 22:30:00+05:00
0.017700339659732833,-0.002255189778267111,2022-09-30 23:00:00+05:00
0.02772418172937563,0.003740684523261438,2022-09-30 23:30:00+05:00
0.0416434405391648,0.01132123572644211,2022-10-01 00:00:00+05:00
0.05686059840393298,0.020429108261940283,2022-10-01 00:30:00+05:00
0.06733716825919345,0.029810720261390915,2022-10-01 01:00:00+05:00
0.06799730511719915,0.037448037232552564,2022-10-01 01:30:00+05:00
0.06973391028951781,0.043905211843945614,2022-10-03 12:00:00+05:00
0.06671006636139509,0.04846618274743551,2022-10-03 12:30:00+05:00
0.08312488873837864,0.055397923945624136,2022-10-03 13:00:00+05:00
0.10540858275181364,0.06540005570686204,2022-10-03 13:30:00+05:00
0.11967177797314577,0.0762544001601188,2022-10-03 14:00:00+05:00
0.126690842286461,0.08634168858538724,2022-10-03 14:30:00+05:00
0.14749847566827157,0.0985730460019641,2022-10-03 15:00:00+05:00
0.1569346730395651,0.11024537140948432,2022-10-03 15:30:00+05:00
0.1804879937944044,0.12429389588646833,2022-10-03 16:00:00+05:00
0.19728346739099223,0.13889181018737312,2022-10-03 16:30:00+05:00
0.20899179038101678,0.15291180622610184,2022-10-03 17:00:00+05:00
0.21498558428623937,0.16532656183812935,2022-10-03 17:30:00+05:00
0.2124452737072957,0.17475030421196264,2022-10-03 18:00:00+05:00
0.20803397312598904,0.18140703799476793,2022-10-03 18:30:00+05:00
0.20579681200814548,0.18628499279744345,2022-10-03 19:00:00+05:00
0.21047371640860035,0.19112273751967485,2022-10-03 19:30:00+05:00
0.2173234424612822,0.19636287850799633,2022-10-03 20:00:00+05:00
0.21702253332921018,0.2004948094722391,2022-10-03 20:30:00+05:00
0.21630788904249343,0.20365742538628998,2022-10-03 21:00:00+05:00
0.22086128295982377,0.20709819690099673,2022-10-03 21:30:00+05:00
0.22031637753369182,0.20974183302753577,2022-10-03 22:00:00+05:00
0.21737872937892888,0.21126921229781442,2022-10-03 22:30:00+05:00
0.20980787992002092,0.21097694582225573,2022-10-03 23:00:00+05:00
0.20188419011694592,0.20915839468119377,2022-10-03 23:30:00+05:00
0.19417321730693615,0.20616135920634227,2022-10-04 00:00:00+05:00
0.19549170621867518,0.20402742860880888,2022-10-04 00:30:00+05:00
0.1986843490273742,0.20295881269252194,2022-10-04 01:00:00+05:00
0.19892149824755379,0.20215134980352834,2022-10-04 01:30:00+05:00
0.19364950406680848,0.20045098065618439,2022-10-04 12:00:00+05:00
0.16617259120078742,0.193595302765105,2022-10-04 12:30:00+05:00
0.12799355586473027,0.18047495338503006,2022-10-04 13:00:00+05:00
0.1133747269733476,0.16705490810269358,2022-10-04 13:30:00+05:00
0.09185428009863728,0.15201478250188233,2022-10-04 14:00:00+05:00
0.07075587550906448,0.13576300110331876,2022-10-04 14:30:00+05:00
0.05142514968522249,0.11889543081969951,2022-10-04 15:00:00+05:00
0.04407002090944445,0.10393034883764851,2022-10-04 15:30:00+05:00
0.04299041835395556,0.09174236274090992,2022-10-04 16:00:00+05:00
0.03926149420530933,0.08124618903378981,2022-10-04 16:30:00+05:00
0.03788684999533842,0.07257432122609954,2022-10-04 17:00:00+05:00
0.02441227860581563,0.06294191270204276,2022-10-04 17:30:00+05:00
0.013975936023069124,0.05314871736624804,2022-10-04 18:00:00+05:00
0.007235486010685577,0.04396607109513555,2022-10-04 18:30:00+05:00
0.0022709113740830844,0.035627039150925056,2022-10-04 19:00:00+05:00
0.0027428724266087556,0.029050205806061796,2022-10-04 19:30:00+05:00
0.038181099776291916,0.03087638460010782,2022-10-04 20:00:00+05:00
0.04875884371377737,0.034452876422841734,2022-10-04 20:30:00+05:00
0.05968147678487057,0.03949859649524751,2022-10-04 21:00:00+05:00
0.06915440609373391,0.04542975841494479,2022-10-04 21:30:00+05:00
0.07858015519790129,0.05205983777153608,2022-10-04 22:00:00+05:00
0.08147975742825508,0.057943821702879886,2022-10-04 22:30:00+05:00
0.0820252605155325,0.06276010946541041,2022-10-04 23:00:00+05:00
0.07752928418202387,0.06571394440873311,2022-10-04 23:30:00+05:00
0.07392099179329747,0.06735535388564598,2022-10-05 00:00:00+05:00
0.07025157762215173,0.06793459863294712,2022-10-05 00:30:00+05:00
0.06577837190262414,0.06750335328688253,2022-10-05 01:00:00+05:00
0.05673778768472815,0.06535024016645166,2022-10-05 01:30:00+05:00
